"fhidata.municip_code";"fhidata.municip_name";"value";"prior_0"
"municip3811";"Færder";0.893131116802813;0
"municip3812";"Siljan";0.886383409593295;-1
"municip3813";"Bamble";0.836541396351623;-1
"municip3814";"Kragerø";0.78241940749015;-1
"municip3815";"Drangedal";0.811661354789467;-1
"municip3816";"Nome";0.764723405290936;-1
"municip3817";"Midt-Telemark";0.648439669468947;-1
"municip3818";"Tinn";0.742531123745085;-1
"municip3819";"Hjartdal";0.804367483564688;-1
"municip3820";"Seljord";0.741809368029295;-1
"municip3821";"Kviteseid";0.684641768804036;-1
"municip3822";"Nissedal";0.650336829205673;-1
"municip3823";"Fyresdal";0.779706799851953;-1
"municip3824";"Tokke";0.801193049988299;-1
"municip3825";"Vinje";0.837683646863538;-1
"municip4201";"Risør";0.65834416456803;-1
"municip4202";"Grimstad";0.646421481564239;-1
"municip4203";"Arendal";0.794923161220928;-1
"municip4204";"Kristiansand";0.86243944610015;0
"municip4205";"Lindesnes";0.841476123447891;-1
"municip4206";"Farsund";0.891653716828698;-1
"municip4207";"Flekkefjord";0.455525067173129;-1
"municip4211";"Gjerstad";0.805670454533674;-1
"municip4212";"Vegårshei";0.794839833862499;-1
"municip4213";"Tvedestrand";0.770434282449014;-1
"municip4214";"Froland";0.745378773098564;-1
"municip4215";"Lillesand";0.767423018685851;-1
"municip4216";"Birkenes";0.813730730657537;-1
"municip4217";"Åmli";0.695609464622676;-1
"municip4218";"Iveland";0.850153376822855;-1
"municip4219";"Evje og Hornnes";0.812419088151295;-1
"municip4220";"Bygland";0.80403234728201;-1
"municip4221";"Valle";0.788557790922483;-1
"municip4222";"Bykle";0.83637450497839;-1
"municip4223";"Vennesla";0.767606906059986;-1
"municip4224";"Åseral";0.839639696288966;-1
"municip4225";"Lyngdal";0.866268579903568;-1
"municip4226";"Hægebostad";0.803764856668895;-1
"municip4227";"Kvinesdal";0.750770076574638;-1
"municip4228";"Sirdal";0.653464377506517;-1
"municip4601";"Bergen";0.905365452502829;0
"municip4602";"Kinn";0.736665186785261;-1
"municip4611";"Etne";0.872308713027431;-1
"municip4612";"Sveio";0.839204695584821;-1
"municip4613";"Bømlo";0.636896243098735;-1
"municip4614";"Stord";0.859445468234786;-1
"municip4615";"Fitjar";0.849159805613185;-1
"municip4616";"Tysnes";0.766806166187842;-1
"municip4617";"Kvinnherad";0.689786205779991;-1
"municip4618";"Ullensvang";0.756719492832037;-1
"municip4619";"Eidfjord";0.780191577064861;-1
"municip4620";"Ulvik";0.973543702181931;-1
"municip4621";"Voss herad";0.816330081189695;-1
"municip4622";"Kvam";0.862031019635856;-1
"municip4623";"Samnanger";0.779428661737333;-1
"municip4624";"Bjørnafjorden";0.767693719960075;-1
"municip4625";"Austevoll";0.814991346710246;-1
"municip4626";"Øygarden";0.861772906088544;-1
"municip4627";"Askøy";0.864615815303782;-1
"municip4628";"Vaksdal";0.855903545949805;-1
"municip4629";"Modalen";0.812974462186539;-1
"municip4630";"Osterøy";0.822286104643885;-1
"municip4631";"Alver";0.727976933638691;-1
"municip4632";"Austrheim";0.824498428042964;-1
"municip4633";"Fedje";0.840422659391467;-1
"municip4634";"Masfjorden";0.78484244017099;-1
"municip4635";"Gulen";0.812336615915347;-1
"municip4636";"Solund";0.828715321070088;-1
"municip4637";"Hyllestad";0.955360382476856;-1
"municip4638";"Høyanger";0.761477280179653;-1
"municip4639";"Vik";0.805101325666772;-1
"municip4640";"Sogndal";0.75112513768674;-1
"municip4641";"Aurland";0.727600820204315;-1
